offered,admitted,successes,terminal_failures,simulation_process_s,validation_s,total_wall_s,started_at,finished_at,max_service_conservation_error_ms,max_vehicle_service_conservation_error_ms,block,fleet_seed,evaluator_seed,arm,attainment_pct,admitted_misses,gate_rejected,capacity_rejected,local_rejected,v2v_rejected,v2i_unavailable,v2v_unavailable,evaluator_scan_wall_s
1741855,1639136,1510719,102719,274.68914033309557,2.3738354590022936,277.06304275,2026-09-08T12:27:42.351988+00:00,2026-09-08T12:32:19.415049+00:00,6.580352783203125e-05,0.000164031982421875,2,102,202,ingress_dla,86.73046837997423,128417,99922,0,319,2417,61,0,249.3
1741855,1556771,1436166,185084,270.6339486669749,2.4283162499777973,273.0623362920014,2026-09-08T12:32:19.428095+00:00,2026-09-08T12:36:52.490477+00:00,0.00012159347534179688,0.000164031982421875,2,102,202,dla,82.45037617941792,120605,182287,0,319,2417,61,0,245.1
1744227,1734468,1614712,9759,255.9807326250011,2.543455292005092,258.524252000032,2026-09-08T12:36:54.505807+00:00,2026-09-08T12:41:13.030101+00:00,1.9073486328125e-05,0.0001621246337890625,3,103,203,causal_round_robin,92.57464768060579,119756,7945,0,205,1537,72,0,230.3
1744227,1677045,1557192,67182,308.7854212500388,2.379890374955721,311.1654842089629,2026-09-08T12:41:13.043434+00:00,2026-09-08T12:46:24.362945+00:00,4.696846008300781e-05,0.0001621246337890625,3,103,203,ingress_dla,89.27691177811145,119853,65368,0,205,1537,72,0,283.2
1744227,1616965,1501691,127262,220.5911673340015,1.2283835830166936,221.81962454202585,2026-09-08T12:46:24.384939+00:00,2026-09-08T12:50:06.210193+00:00,7.05718994140625e-05,0.0001621246337890625,3,103,203,dla,86.09492915773005,115274,125448,0,205,1537,72,0,206.7
1744227,1740631,1624157,3596,155.00692091707606,1.20592437509913,156.21290345909074,2026-09-08T12:50:06.228274+00:00,2026-09-08T12:52:42.445141+00:00,1.7881393432617188e-05,0.0001621246337890625,3,103,203,per_task_dla,93.11614829950459,116474,1782,0,205,1537,72,0,141.6
1743484,1680263,1560221,63221,170.59820683300495,1.2812384999124333,171.87951125006657,2026-09-08T12:52:43.567686+00:00,2026-09-08T12:55:35.451555+00:00,5.936622619628906e-05,0.00018548965454101562,4,104,204,ingress_dla,89.48869046116856,120042,61226,0,226,1723,44,2,157.2
1743484,1623533,1507624,119951,174.80588474997785,1.2348169999895617,176.04077354096808,2026-09-08T12:55:35.467063+00:00,2026-09-08T12:58:31.512303+00:00,7.939338684082031e-05,0.00018548965454101562,4,104,204,dla,86.47191485554212,115909,117956,0,226,1723,44,2,161.4
1743484,1738717,1622888,4767,169.7365810830379,1.2501502920640633,170.98681041609962,2026-09-08T12:58:31.528108+00:00,2026-09-08T13:01:22.519253+00:00,2.0742416381835938e-05,0.00018548965454101562,4,104,204,per_task_dla,93.0830452129185,115829,2772,0,226,1723,44,2,156.1
1743484,1732685,1613895,10799,163.06536495895125,1.3177054580301046,164.3831377089955,2026-09-08T13:01:22.535452+00:00,2026-09-08T13:04:06.889177+00:00,2.1219253540039062e-05,0.00018548965454101562,4,104,204,causal_round_robin,92.56723893078457,118790,8804,0,226,1723,44,2,149.6
1745078,1629177,1511177,115901,178.75700466695707,1.240040916018188,179.99711087497417,2026-09-08T13:04:08.096524+00:00,2026-09-08T13:07:08.088913+00:00,7.2479248046875e-05,0.00015163421630859375,5,105,205,dla,86.59653035566319,118000,113555,0,297,1998,51,0,165.1
1745078,1740768,1623996,4310,163.34192191704642,1.2091445410624146,164.55112204200123,2026-09-08T13:07:08.104655+00:00,2026-09-08T13:09:52.658432+00:00,1.7642974853515625e-05,0.00015163421630859375,5,105,205,per_task_dla,93.06151358277396,116772,1964,0,297,1998,51,0,149.8
1745078,1735213,1614934,9865,160.45995483302977,1.2785418330458924,161.7385412080912,2026-09-08T13:09:52.674942+00:00,2026-09-08T13:12:34.416092+00:00,2.288818359375e-05,0.00015163421630859375,5,105,205,causal_round_robin,92.54222447363384,120279,7519,0,297,1998,51,0,147.0
1745078,1685944,1564006,59134,168.9628959579859,1.2215291250031441,170.1844812920317,2026-09-08T13:12:34.429837+00:00,2026-09-08T13:15:24.617064+00:00,5.7220458984375e-05,0.00015163421630859375,5,105,205,ingress_dla,89.62384489403912,121938,56788,0,297,1998,51,0,155.7
1742095,1736400,1611494,5695,157.753787750029,1.2154278330272064,158.96925608301535,2026-09-08T13:15:25.765333+00:00,2026-09-08T13:18:04.737153+00:00,1.9073486328125e-05,0.000244140625,6,106,206,per_task_dla,92.50322169571695,124906,2081,0,395,3145,74,0,144.4
1742095,1729087,1601138,13008,159.86362433398608,1.466672791983001,161.33037475007586,2026-09-08T13:18:04.753046+00:00,2026-09-08T13:20:46.085948+00:00,2.288818359375e-05,0.000244140625,6,106,206,causal_round_robin,91.90876502142535,127949,9394,0,395,3145,74,0,145.9
1742095,1669339,1541879,72756,174.80879112507682,1.2240464999340475,176.0329070420703,2026-09-08T13:20:46.103656+00:00,2026-09-08T13:23:42.139374+00:00,6.914138793945312e-05,0.000244140625,6,106,206,ingress_dla,88.50717096369601,127460,69142,0,395,3145,74,0,161.5
1742095,1603847,1481655,138248,177.9793134580832,1.2420665000099689,179.2214577080449,2026-09-08T13:23:42.157067+00:00,2026-09-08T13:26:41.381412+00:00,9.107589721679688e-05,0.000244140625,6,106,206,dla,85.05018383038812,122192,134634,0,395,3145,74,0,164.6
1744742,1726431,1596904,18311,162.257735292078,1.297912708017975,163.55571654206142,2026-09-08T13:26:42.505625+00:00,2026-09-08T13:29:26.063972+00:00,2.6702880859375e-05,0.0001678466796875,7,107,207,causal_round_robin,91.52665551697615,129527,15938,0,226,2078,66,3,148.9
1744742,1657846,1531566,86896,175.33432862500194,1.230086375027895,176.5644526249962,2026-09-08T13:29:26.082021+00:00,2026-09-08T13:32:22.649320+00:00,6.127357482910156e-05,0.0001678466796875,7,107,207,ingress_dla,87.78180384263118,126280,84523,0,226,2078,66,3,162.0
1744742,1588286,1468334,156456,177.6571216250304,1.2227287919959053,178.87990075000562,2026-09-08T13:32:22.666909+00:00,2026-09-08T13:35:21.549694+00:00,0.00011181831359863281,0.0001678466796875,7,107,207,dla,84.15765769380229,119952,154083,0,226,2078,66,3,164.3
1744742,1736713,1608728,8029,165.01366254198365,1.2245377500075847,166.23825354198925,2026-09-08T13:35:21.567107+00:00,2026-09-08T13:38:07.712196+00:00,2.1219253540039062e-05,0.0001678466796875,7,107,207,per_task_dla,92.20434883782244,127985,5656,0,226,2078,66,3,151.5
